@relation credit_approval-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P66.6-V-weka.filters.unsupervised.attribute.Remove-R5

@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 {+,-}

@data
28.58,1.665,u,g,v,2.415,t,f,0,t,g,440,0,-
47.17,5.835,u,g,v,5.5,f,f,0,f,g,465,150,-
47.83,4.165,u,g,bb,0.085,f,f,0,t,g,520,0,-
42.83,4.625,u,g,v,4.58,t,f,0,f,s,0,0,+
28.67,1.04,u,g,v,2.5,t,t,5,t,g,300,1430,+
64.08,0.165,u,g,ff,0,t,t,1,f,g,232,100,+
32.42,3,u,g,v,0.165,f,f,0,t,g,120,0,-
23.75,0.71,u,g,v,0.25,f,t,1,t,g,240,4,-
36.58,0.29,u,g,ff,0,f,t,10,f,g,200,18,-
69.17,9,u,g,ff,4,f,t,1,f,g,70,6,-
21.67,1.165,y,p,v,2.5,t,t,1,f,g,180,20,-
28.67,9.335,u,g,h,5.665,t,t,6,f,g,381,168,+
29.83,3.5,u,g,v,0.165,f,f,0,f,g,216,0,-
54.33,6.75,u,g,h,2.625,t,t,11,t,g,0,284,+
39.5,4.25,u,g,bb,6.5,t,t,16,f,g,117,1210,+
24.08,0.5,u,g,h,1.25,t,t,1,f,g,0,678,+
27.83,1,y,p,h,3,f,f,0,f,g,176,537,-
22.67,0.165,u,g,j,2.25,f,f,0,t,s,0,0,+
34.75,2.5,u,g,bb,0.5,f,f,0,f,g,348,0,-
39.42,1.71,y,p,v,0.165,f,f,0,f,s,400,0,-
23.42,0.79,y,p,v,1.5,t,t,2,t,g,80,400,+
23.25,1,u,g,v,0.835,t,f,0,f,s,300,0,+
21.58,0.79,y,p,v,0.665,f,f,0,f,g,160,0,-
23.92,1.5,u,g,h,1.875,t,t,6,f,g,200,327,+
17.83,11,u,g,h,1,t,t,11,f,g,0,3000,+
25,11.25,u,g,v,2.5,t,t,17,f,g,200,1208,+
21.83,0.25,u,g,h,0.665,t,f,0,t,g,0,0,+
57.08,0.335,u,g,bb,1,t,f,0,t,g,252,2197,-
42.83,1.25,u,g,v,13.875,f,t,1,t,g,352,112,-
25.67,2.21,y,p,v,4,t,f,0,f,g,188,0,-
50.08,12.54,u,g,v,2.29,t,t,3,t,g,156,0,+
38.25,10.125,y,p,v,0.125,f,f,0,f,g,160,0,-
22,0.79,u,g,v,0.29,f,t,1,f,g,420,283,-
21.08,4.125,y,p,h,0.04,f,f,0,f,g,140,100,-
18,0.165,u,g,n,0.21,f,f,0,f,g,200,40,+
25,12,u,g,v,2.25,t,t,2,t,g,120,5,-
43,0.29,y,p,h,1.75,t,t,8,f,g,100,375,+
26.67,1.75,y,p,v,1,t,t,5,t,g,160,5777,+
35.17,3.75,u,g,ff,0,f,t,6,f,g,0,200,-
46.67,0.46,u,g,h,0.415,t,t,11,t,g,440,6,+
48.25,25.085,u,g,v,1.75,t,t,3,f,g,120,14,+
32.42,2.165,y,p,ff,0,f,f,0,f,g,120,0,-
29.25,13,u,g,h,0.5,f,f,0,f,g,228,0,-
